caseid,market,region,timezone,state,division,qs1,qs2,qs3,q1,q2,q3,q4,q5,q6,q6a_1,q6b_a,q6b_b,q6b_c,q6b_d,q6b_e,q6b_f,q6b_g,q6b_h,q6b_i,q6b_j,q6c_a,q6c_b,q6c_c,q6c_d,q7,q801,q901,q1001,q11,q12,q13,q14a,q14b,q14c,q14d,q15a,q15b,q16,q17,q18,q19,q20,q21,q22,q23a,q23b,q23c,q24a,q24b,q24c,q24d,q25a,q25b,q25c,q25d,q26,q27,q28,q29,q3001,q31,q32a,q32b,q32c,q32d,q32e,q33,q34,q3501,q36,q3701,q38,q39,q40,q41,q4201,q43,q44a,q44b,q44c,q44d,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54,bmi,q55,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q5701,q58,q59,q60a01,d101,d2,d3
819,ne_4,Northeast,E,RI,1,1,Female,Single,6:30 AM – 6:44 AM,10:30 PM – 10:44 PM,8,8:00 AM – 8:14 AM,12:00 AM (Midnight),8,Rarely,A few nights a week,Every night or almost every night,Rarely,A few nights a week,Every night or almost every night,A few nights a month,A few nights a month,A few nights a week,A few nights a month,Rarely,Yes,No,Yes,Yes,15 up to 30 minutes,With your pet,With your pet,Use an over-the-counter sleep aid,No,None, ,Rarely,Rarely,Rarely,A few nights a month,Rarely,Every night or almost every night,About the same,Yes,Slightly louder than breathing,3 to 4 nights a week,No,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,Noise,Not very difficult,Rarely, Never,Rarely, Never, Never,Never?,1 to 2 nights a month?,Alarm clock,7,Traffic or transportation problems,None,None,None,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly disagree,Mostly agree,Mostly disagree,Mostly agree,Morning person,01,02,Less than once a month,No, ,No, ,67,175,27.4838494096681,Not at all,No,Yes,No,No,No,No,No,No,Working full-time,Regular day shifts,050,3,1,043,Suburban
820,west_7,West,M,MT,8,1,Female,Married,7:30 AM – 7:44 AM,10:00 PM – 10:14 PM,6,8:00 AM – 8:14 AM,10:00 PM – 10:14 PM,6,A few nights a month, Never,Every night or almost every night,A few nights a week, Never,A few nights a week,A few nights a week, Never,A few nights a month,A few nights a week,Rarely,Yes,No,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Nothing,No,None, ,Rarely,A few nights a week,A few nights a month,A few nights a month,A few nights a month,Rarely,Worse at night,Yes,Slightly louder than breathing,1 to 2 nights a week,No,Never,No impact,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Refused,No problems,A few nights a week,No,Noise,Not very difficult, Never, Never,Every night or almost every night, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Light,6,Do not work, , ,None,No,Makes it difficult for you to fall asleep,Very concerned,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Morning person,03,05,Never,No, ,No, ,64,130,22.37548828125,Not at all,No,Yes,No,No,No,No,No,No,Retired, , , ,1,075,Suburban
821,west_7,West,M,ID,8,1,Male,Single,5:00 AM – 5:14 AM,9:30 PM – 9:44 PM,6,9:00 AM – 9:14 AM,10:00 PM – 10:14 PM,7,Rarely,Rarely,Every night or almost every night,Rarely,A few nights a month,A few nights a month, Never, Never,A few nights a month, Never,Rarely,No,No,Yes,Yes,10 up to 15 minutes,Alone,Alone,Assume it will go away in time,No,2 or 3 times,15 to less than 30 minutes,Rarely,Rarely,A few nights a month,Every night or almost every night, Never,Rarely, ,No, , , ,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,11,Not very difficult, Never, Never, Never, Never, Never,Never?,Never,Alarm clock,6,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely agree,Completely disagree,Completely disagree,Mostly agree,Morning person,02,00,Never,No, ,No, ,74,200,25.7487216946676,Not at all,No,No,No,No,Yes,No,No,Yes,Working full-time,Regular day shifts,040,9,1,058,Suburban
822,ne_7,Northeast,E,NY,2,1,Female,Married,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,7:00 AM – 7:14 AM,12:00 AM (Midnight),7,A few nights a month, Never,Every night or almost every night,A few nights a week, Never,Rarely,Refused,Rarely,Every night or almost every night,Rarely,Rarely,No,No,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, , Never, Never, Never, Never, Never, Never, ,No, , , ,Never,No impact,No,No,No,No,No,No,No,Yes,No,No,No,None,No problems,Every night or almost every night,No,Someone else,Not at all difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Alarm clock,6,You are never late or tardy?,None,1 to 2 days,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly disagree,Mostly agree,Completely disagree,Mostly agree,Evening person,05,03,Never,No, ,No, ,66,135,21.849173553719,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,4,1,031,Rural
823,west_6,West,P,NV,8,1,Male,Married,12:01 AM - 4:59 AM,11:00 PM – 11:14 PM,6,8:30 AM – 8:44 AM,2:00 AM – 5:00 AM,4,Every night or almost every night, Never,Every night or almost every night, Never, Never, Never,Every night or almost every night, Never,Every night or almost every night,Rarely, Never,No,Yes,Yes,Yes,15 up to 30 minutes,With your significant other,With your significant other,Assume it will go away in time,No,1 time, ,Rarely,Rarely, Never,Rarely, Never,Every night or almost every night, ,Yes,Slightly louder than breathing,1 to 2 nights a month?,No,Never,No impact,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,None,No problems,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,3,None of the above,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Don't Know,Don't Know,Morning person,Less than one,20,Never,No, ,No, ,69,205,30.3560176433522,Every day,No,Yes,No,No,No,No,No,No,Working full-time,No info,050,3,1,027,Suburban
824,ne_4,Northeast,E,NY,2,1,Male,Married,9:00 AM – 9:14 AM,10:00 PM – 10:14 PM,11,9:00 AM – 9:14 AM,10:00 PM – 10:14 PM,11,Rarely,A few nights a week,A few nights a month,A few nights a month,Rarely,Every night or almost every night,A few nights a month,Rarely,Every night or almost every night, Never, Never,No,No,Yes,Yes,Less than 5 minutes,With your significant other,With your significant other,Talk to your doctor,Yes,More than 5 times,1 hour or more?, Never,Rarely, Never,A few nights a month,Rarely,Every night or almost every night,Don't Know,Yes,Louder than talking,Every night or almost every night,Yes,Don't Know,Severe impact,Yes,No,No,Not sure,Yes,Yes,Yes,No,No,No,No,None,Little problems,A few nights a month,Yes,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Bed partner,12,You were too sleepy when you woke up,More than 10 days?,More than 10 days?,More than 10 days?,No,No info,Very concerned,Completely disagree,Completely agree,Don't Know,Completely agree,Evening person,01,00,Less than once a month,No, ,Yes,Less often or never?,66,160,25.8953168044077,Not at all,No,No,No,No,No,No,No,No,No info, , , ,Refused,066,Urban
825,west_7,West,M,MT,8,1,Female,Widowed,7:00 AM – 7:14 AM,10:30 PM – 10:44 PM,6,7:00 AM – 7:14 AM,10:30 PM – 10:44 PM,6,A few nights a month,Rarely,Every night or almost every night,Rarely, Never,A few nights a month, Never,Rarely,Rarely, Never,Rarely,No,No,Yes,Yes,15 up to 30 minutes,Alone,Alone,17,No,1 time, ,A few nights a month,Rarely,Rarely,Rarely,A few nights a month,A few nights a month,Better at night,Yes,Don't Know,Don't Know,No,Never, , , , , , , , , , , , , , ,A few nights a week,No,Noise,Not very difficult,Rarely,A few nights a month, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Wake up on own,6,You are never late or tardy?,None,None,None,No intimate or sexual relationship,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Don't Know,Mostly disagree,Mostly agree,Morning person,01,00,Never,No, ,No, ,64,160,27.5390625,Not at all,No,Yes,Yes,Yes,Yes,No,No,Yes,Retired, , , ,1,077,Rural
826,west_5,West,M*,AZ,8,1,Female,Single,6:30 AM – 6:44 AM,11:30 PM – 11:44 PM,6.5,9:00 AM – 9:14 AM,11:30 PM – 11:44 PM,8,Every night or almost every night, Never,Rarely,Every night or almost every night, Never, Never,Rarely,Rarely,Every night or almost every night, Never,Rarely,Yes,Yes,Yes,No,1 hour or more?,With your children,With your children,Use an over-the-counter sleep aid,Yes,2 or 3 times,Don't Know,Every night or almost every night,Every night or almost every night,Every night or almost every night,Rarely,A few nights a week,Every night or almost every night,Better at night,No, , , ,Never, , , , , , , , , , , , , , ,A few nights a week,Don't Know,The need to go to the bathroom,Somewhat difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Wake up on own,1,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Completely agree,Completely agree,Refused,Completely agree,Evening person,00,00,3 or more times a week,No, ,No, ,61,190,35.9983875302338,Not at all,No,No,No,No,No,No,No,No,Working part-time,Regular evening shifts,052,14,3,031,Suburban
827,west_6,West,M*,AZ,8,1,Male,Single,5:30 AM – 5:44 AM,11:00 PM – 11:14 PM,5,7:00 AM – 7:14 AM,12:00 AM (Midnight),7,Rarely, Never,Every night or almost every night, Never,A few nights a week,A few nights a month,A few nights a week, Never,A few nights a week,A few nights a week, Never,Yes,No,Yes,Yes,15 up to 30 minutes,With your pet,With your pet,Assume it will go away in time,Yes,None, ,A few nights a month,A few nights a month,A few nights a month,A few nights a week, Never, Never, ,No, , , ,Never, , , , , , , , , , , , , , ,A few nights a week,No,Noise,Not very difficult, Never,Rarely,A few nights a month, Never,Rarely,1 to 2 nights a week,1 to 2 nights a week,Wake up on own,5,You are never late or tardy?,None,None,None,No,Causes you to have disturbed or restless sleep,Very concerned,Mostly agree,Completely agree,Don't Know,Completely agree,Evening person,01,03,Never,No, ,Yes,Less often or never?,74,195,25.1050036523009,Not at all,No,Yes,No,Yes,No,No,No,No,Working full-time,Regular day shifts,050,3,1,035,Suburban
828,ne_6,Northeast,E,NY,2,1,Male,Married,5:30 AM – 5:44 AM,10:00 PM – 10:14 PM,7,7:00 AM – 7:14 AM,10:30 PM – 10:44 PM,7,Rarely, Never,Every night or almost every night,Rarely,Rarely,Rarely,A few nights a month, Never,A few nights a month,Rarely, Never,Yes,No,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Assume it will go away in time,No,None, , Never, Never,Rarely,Rarely, Never,Every night or almost every night, ,Yes,Slightly louder than breathing,Never/Less often,Yes,Never,No impact,No,No,No,No,Yes,Yes,No,No,No,No,Yes,None,No problems,Every night or almost every night,No,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Alarm clock,7,None of the above,None,None,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Morning person,05,02,Less than once a month,No, ,Yes,Less often or never?,72,210,28.5590277777778,Not at all,No,No,No,Yes,No,No,No,No,Working full-time,Regular day shifts,040,3,1,050,Rural
829,south_5,South,C,AL,6,1,Male,Married,5:45 AM – 5:59 AM,10:30 PM – 10:44 PM,7,5:45 AM – 5:59 AM,10:30 PM – 10:44 PM,7,A few nights a month, Never,Every night or almost every night,A few nights a month,A few nights a week,A few nights a week,A few nights a week, Never,A few nights a month, Never,A few nights a week,Yes,No,Yes,Yes,Less than 5 minutes,With your significant other,With your significant other,Talk to your doctor,No,None, ,Rarely,Rarely, Never,Every night or almost every night, Never, Never, ,No, , , ,Never,No impact,Yes,No,No,Yes,Yes,Yes,Don't Know,Yes,Yes,No,Yes,None,No problems,Every night or almost every night,No,Noise,Not very difficult, Never, Never, Never, Never, Never,Never?,Never,Wake up on own,7,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly disagree,Completely agree,Mostly disagree,Completely agree,Morning person,01,00,3 or more times a week,No, ,Yes,Less often or never?,75,232,29.0773333333333,Not at all,No,No,Yes,No,No,No,No,Yes,Retired, , , ,1,057,Rural
830,west_5,West,P,CA,9,1,Male,Widowed,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,8,A few nights a month, Never,Every night or almost every night,A few nights a week, Never, Never, Never, Never,Rarely,A few nights a week, Never,Yes,No,Yes,No,5 up to 10 minutes,Alone,Alone,Use an over-the-counter sleep aid,No,None, ,Rarely,Rarely,Rarely, Never, Never,Don't Know, ,Yes,Slightly louder than breathing,Don't Know,Yes,Never,No impact, , , , , , , , , , , , , ,A few nights a month,No,Noise,Not very difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Wake up on own,6,Traffic or transportation problems,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely disagree,Completely agree,Don't Know,Mostly disagree,Morning person,04,09,Never,No, ,No, ,68,160,24.3944636678201,Every day,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,048,6,1,061,Suburban
831,south_5,South,C,MS,6,1,Female,Married,6:00 AM – 6:14 AM,11:00 PM – 11:14 PM,8,8:00 AM – 8:14 AM,11:00 PM – 11:14 PM,8,A few nights a week, Never,Every night or almost every night,Rarely,Rarely,A few nights a month,Rarely, Never,Every night or almost every night,Rarely,Every night or almost every night,Yes,Yes,Yes,Yes,45 minutes up to 1 hour,With your significant other,With your significant other,Talk to your doctor,Yes,None, ,Every night or almost every night,Every night or almost every night,Rarely,A few nights a month,Every night or almost every night,Every night or almost every night,Worse at night,Yes,As loud as talking,Every night or almost every night,No,1 to 2 nights a month?, ,No,No,Yes,No,No,No,No,Yes,No,No,No,None,No problems,A few nights a month,Yes,Wake up for no apparent reason,Somewhat difficult,A few nights a month,Rarely,Rarely,A few nights a month, Never,1 to 2 nights a week,1 to 2 nights a week,Children,5,Do not work, , ,1 to 2 days,No,Makes it difficult for you to fall asleep,Very concerned,Completely agree,Mostly agree,Completely agree,Mostly agree,Don't Know,00,00,1 to 2 times a month,No, ,No, ,65,195,32.5384615384615,Every day,No,Yes,No,No,Yes,Yes,No,Yes,A homemaker, , , ,1,031,Don't Know
832,west_7,West,M*,AZ,8,1,Female,Single,7:00 AM – 7:14 AM,10:30 PM – 10:44 PM,9,11:00 AM – 11:59 AM,2:00 AM – 5:00 AM,10,Rarely,A few nights a month,Every night or almost every night,A few nights a month, Never, Never,A few nights a week, Never,Every night or almost every night,A few nights a month,A few nights a week,No,No,No,Yes,5 up to 10 minutes,Alone,With your significant other,Get recommendations from family/friends,No,2 or 3 times,1 hour or more?, Never, Never, Never,A few nights a month, Never,Rarely, ,Yes,Slightly louder than breathing,1 to 2 nights a month?,No,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Alarm clock,9,You slept too late,None,3 to 5 days,1 to 2 days,No,Or does it have no impact on your sleep?,Not really concerned,Completely disagree,Completely agree,Mostly disagree,Completely agree,Morning person,01,10,Less than once a month,Yes,Less than once a month,No, ,62,127,23.2921436004162,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,050,3,1,026,Urban
833,south_5,South,C,LA,7,1,Male,Single,7:00 AM – 7:14 AM,10:30 PM – 10:44 PM,6,8:00 AM – 8:14 AM,11:30 PM – 11:44 PM,6,A few nights a week,Every night or almost every night,Every night or almost every night,Every night or almost every night,Rarely,Every night or almost every night,A few nights a week, Never,Every night or almost every night,A few nights a week,Every night or almost every night,Yes,No,Yes,Yes,1 hour or more?,Alone,Alone,Assume it will go away in time,Yes,2 or 3 times,1 hour or more?,A few nights a week,Every night or almost every night,A few nights a week,A few nights a week,Every night or almost every night,Every night or almost every night,About the same,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,3 to 4 nights a week, , , , , , , , , , , , , , ,Every night or almost every night,No,Pain/Discomfort,Somewhat difficult, Never, Never,Rarely, Never, Never,Every night or almost every night,Every night or almost every night,Light,3,You needed to take care of others,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Evening person,06,06,1 to 2 times a week,No, ,Yes,Less often or never?,68,240,36.5916955017301,Every day,No,No,No,Yes,No,No,No,Yes,Working full-time,Regular day shifts,040,7,5,039,Urban
834,west_5,West,P,WA,9,1,Female,Married,6:30 AM – 6:44 AM,9:30 PM – 9:44 PM,9,8:00 AM – 8:14 AM,11:00 PM – 11:14 PM,9,A few nights a month,A few nights a month,A few nights a month,Every night or almost every night,Rarely,A few nights a week,A few nights a month,A few nights a month,Every night or almost every night, Never,A few nights a week,No,No,No,Yes,Less than 5 minutes,With your significant other,With your significant other,Assume it will go away in time,No,2 or 3 times,30 to less than 45 minutes, Never,Rarely,Rarely,A few nights a week, Never,Rarely, ,Yes,As loud as talking,1 to 2 nights a week,Yes,1 to 2 nights a month?, ,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Don't Know,No problems,A few nights a month,Yes,The need to go to the bathroom,Not at all difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Alarm clock,8,You were too sleepy when you woke up,1 to 2 days,1 to 2 days,1 to 2 days,Yes,Or does it have no impact on your sleep?,Very concerned,Mostly disagree,Completely agree,Mostly disagree,Mostly agree,Evening person,03,00,1 to 2 times a week,No, ,Yes,Less often or never?,66,145,23.4676308539945,Not at all,Yes,No,No,No,Yes,Yes,No,No,Working part-time,Regular day shifts,040,1,1,036,Suburban
